smiles,emission
FC(=C(C(F)=C1F)C(C(=CC2)N(C=2C2)[Zn]3(N(C=2C2(C)C)=C(C4)C2)N(C=4C2)C4C=2)=C(N3=C2C=4C(C(F)=C(F)C3F)=C(F)C=3F)C=C2)C(F)=C1F,618.0
FC(C(F)=C(F)C1F)=C(C=1F)C(=C(N=C1C(=C(NC2=C3)C=C2)C(=C(F)C(F)=C2F)C(F)=C2F)C=C1)C(=CC1)NC=1C=C(N=C13)C(C)(C)C1,645.0
FC(=C(C(=C(C=C1)N(=C1C1C(=C(F)C(F)=C2F)C(F)=C2F)[Cu]2(N(C=1C1)C(C=1)=C1)N(=C1C1)C3C1(C)C)C(N2C1C=3)=CC=1)C(F)=C1F)C(F)=C1F,
IC(=CC=C1C(C(C=C2)=N(C2=C(C2=C3)C(C=CC4C)=CC=4)[Zn]4(N2C(=C3)C2)N(C=2C2(C)C)=C3C2)=C(C=C2)N4C2=C3)C=C1,611.0
IC(=CC=C1C(C(C=C2)=NC2=C(C(NC2C3)=CC=2)C(C=CC2C)=CC=2)=C(NC2=CC(CC4(C)C)=NC=34)C=C2)C=C1,641.0
CCC(=CC(=C1)CC)C=C1/C(C(=CC1)N(C=1C=C1C2(C)C)C(N1=C1C2)N(/C2C3)C(=C1)C=3)=C(/N=C1C/=2C(=CC=C2I)C=C2)C=C1,611.0
IC(C=CC1C(=C(C=C2)NC2=CC(=NC2=C3)CC2(C)C)C(C=C2)=NC2=C(C(NC32)=CC=2)C(C=C(C2)CC)=CC=2CC)=CC=1,641.0
CCC(C=C(C1)CC)=CC=1C(=C(C=C1)N([Cu]2N(C3C4)/C(C=4)=C\C45)=C1C=3C(C=CC1I)=CC=1)C(=CC1)N2C=1C=C(C=4)C(C5)(C)C,
CCC(=CC(=C1)CC)C=C1C(C(=CC1)N(C=1C=C1C2(C)C)[Zn]3(N1=C1C2)N(C2C4)C(=C1)C=4)=C(C=C1)N3=C1C=2C(C=CC1C)=CC=1,611.0
CCC(=CC(=C1)C(C(NC2C=C(N=C3C4)C(C3)(C)C)=CC=2)=C(N=C2C(C(=CC=C3C)C=C3)=C(NC3=4)C=C3)C=C2)C=C1CC,640.0
CC(=CC=C1C(C(C=C2)=N(C2=C2C(=CC(=C3)CC)C=C3CC)[Cu]3(N(C2=C2)C(C4)=C2)N(=C2C5)C=4C5(C)C)=C(C=C4)N3C4=C2)C=C1.CC,
CC(=CC=C1C(=C(C=C2)N(C2=CC2C3)[Zn]4(N=2C2C3(C)C)N(C3=C5)C(C=2)=C5)C(C=C2)=N4C2=C3C(=CC=C2C)C=C2)C=C1,611.0
CC(=CC=C1C(=C(NC2=CC(=NC3=C4)CC3(C)C)C=C2)C(C=C2)=NC2=C(C(=CC=C2C)C=C2)C(=CC2)NC4=2)C=C1,641.0
CC(=CC=C1C(=C(C=C2)N(C2=C2)[Zn]3(N(=C2C2)C(=C4)C2(C)C)N(C4=C2)C4=C2)C(=N3C2=C4C(=CC=C3C)C=C3)C=C2)C=C1,611.0
CC(=CC=C1C(=C(C=C2)N(=C2C2C(C(C)=CC3C)=C(C)C=3)[Zn]3(N(C=2C2)C(C=2)=C2)N(=C2C2)C4C2(CCC2)CC2)C(=CC2)N3C=2C=4)C=C1,612.0
BrC(=CC=C1)C=C1C(=C(C=C1)N(=C1C(=C1C2)C(C(C)=CC3C)=C(C)C=3)[Zn]3(N1C(=C1)C=2)N(C2C4(C)C)=C1C4)C(=CC1)N3C=1C=2,612.0
IC(C=CC1C(C(=CC2)N([Zn]3N(C4C5)/C(C=5)=C\C56)C=2/C=C(\N=6)C(C)(C)C5)=C(C=C2)N3=C2C=4C(=C(C)C=C2C)C(C)=C2)=CC=1,613.0
IC(C=CC1C(C(=CC2)NC=2C=C(N=C2C3)C(C2)(C)C)=C(N=C2C(=C(NC4=3)C=C4)C(C(C)=CC3C)=C(C=3)C)C=C2)=CC=1,642.0
CCC#CC(=CC=C1C(C(NC2C=C(N=C3C4)C(C3)(C)C)=CC=2)=C(N=C2C(=C(C=C3)NC3=4)C(=C(C)C=C3C)C(=C3)C)C=C2)C=C1,643.0
NCC#CC(=CC=C1C(C(NC2C=C(N=C3C4)C(C3)(C)C)=CC=2)=C(N=C2C(=C(NC=43)C=C3)C(C(C)=CC3C)=C(C=3)C)C=C2)C=C1,642.0
CC(C)(CC1C(C(=CC=C2)C=C2)=C(NC2=CC3C4)C=C2)C(N=1)=CC(NC1C(C(=CC=C2C)C=C2)=C(C=4)N=3)=CC=1,642.0
O=C(O)C(C=CC1C(C(CC2(C)C)=N(C2=CC2=C3)[Zn]4(N2C(=C3)C2C(=CC=C3C)C=C3)N(=C3C5)C=2C=5)=C(N4C2=C3)C=C2)=CC=1,615.0
O=C(O)C(=CC=C1C(C(CC2(C)C)=NC2=CC(=CC2)NC=2C2C(=CC=C3C)C=C3)=C(C=C3)NC3=CC(=NC3=2)C=C3)C=C1,642.0
C=C/C(=C\C=N(\C)CCCCCCC=C)C(C(CC1(C)C)=N(C1=CC1=C2)[Zn]3(N1C(=C2)C1C(C=CC2C)=CC=2)N(=C2C4)C=1C=4)=C(C=C1)N3C1=C2.CCCC.CCCC,615.0
C/N=C/C=C(\C=C=CCCCCCCCC)C(C(CC1(C)C)=NC1=CC(NC1C2C(C=CC3C)=CC=3)=CC=1)=C(NC1=CC(=NC3=2)C=C3)C=C1.C1C/C=C\CCCC1,643.0
CC(C)(CC1C(C(C=CC2)=CC=2)=C(C=C2)NC2=C(C2C3)C(C=CC4C)=CC=4)C(N=1)=CC(=CC1)NC=1C=C(N=2)C=3,643.0
CC(=CC(C)=C1C(C(C=C2)=NC2=CC(=CC2)NC=2C2)=C(NC3=C(C(C=CC4)=CC=4)C(=NC4=2)CC4(C)C)C=C3)C=C1C,643.0
CCCCCC(C(=NC1=CC(NC2C3)=CC=2)C=C1)=C(C=C1)NC1=C(C(CC1(C)C)=NC=31)C(C=CC1)=CC=1,643.0
CC(C)(CC1C(=C2C=C3)C(C=CC4)=CC=4)C(=CC(=CC4)N5C=4C4C(C=CC6C)=CC=6)N=1[Zn]5(N2C3=C1C(=C(C)C=C2C)C(=C2)C)N(=C1C1)C=4C=1,615.0
CC(C)(CC1C(=C(C=C2)NC2=C(C23)C(C(C)=CC4C)=C(C=4)C)C(=CC=C4)C=C4)C(N=1)=CC(=CC1)NC=1C(=C(N=3)C=C2)C(C=CC1C)=CC=1,647.0
NC(C=CC1C(=C(NC2=C(C(C=C3)=NC3=C3C(C=CC4C)=CC=4)C(C(C)=CC4C)=C(C)C=4)C=C2)C(=NC2=CC(=CC4)NC3=4)CC2(C)C)=CC=1,647.0
OC(C(C(=C(C=C1)N(C1=C1C(=C(C)C=C2C)C(=C2)C)[Zn]2(N(C3=C4)C(=C4)C4C(=CC=C5C)C=C5)N(C=4C4)=C1C=4)C(=N2C1=C3)CC1(C)C)=C(Cl)C1O)=C(Cl)C=1Cl,615.0
CCC#CC(=CC=C1C(C(NC2C=C(N=C3C4)C(C3)(C)C)=CC=2)=C(N=C2C(=C(C=C3)NC3=4)C(=C(C)C=C3C)C(=C3)C)C=C2)C=C1,614.0
CC(C=CC1C(C(=CC2)N(C=2C2C(=CC=C3)C=C3)[Zn]3(N(C4C5)C(=C6)C=5)N(C=2C2(C)C)=C6C2)=C(C=C2)N3=C2C=4C(=C(C)C=C2C)C(=C2)C)=CC=1,616.0
CC(C)(CC1C=C(C=C2)NC2=C(C2C3)C(C(C)=CC4C)=C(C)C=4)C(N=1)=C(C(=CC=C1)C=C1)C(NC1C(=C(N=2)C=3)C(C=CC2C)=CC=2)=CC=1,646.0
O=C(OCC)C(=CC=C1C(=C(C=C2)N(C2=C2C(C(C)=CC3C)=C(C)C=3)[Zn]3(N(C4=C5)C(=C5)C5C(C=CC6C)=CC=6)N(C=5C5)=C2C=5)C(CC2(C)C)=N3C2=C4C(=CC=C2)C=C2)C=C1,622.0
O=C(OCC)C(=CC=C1C(=C(NC2=C(C(C=C3)=NC3=C3C(=CC=C4C)C=C4)C(=C(C)C=C4C)C(=C4)C)C=C2)C(CC2(C)C)=NC2=C(C(=CC2)NC3=2)C(=CC=C2)C=C2)C=C1,653.0
CC(C=C1C)=C(C(C(=NC2=C(C(=CC3)NC=3C3C(C=CC4)=CC=4)C(=CC=C4C)C=C4)C=C2)=C(NC2=C(C(C=C(C4)C)=CC=4C)C(CC4(C)C)=NC=34)C=C2)C(C)=C1,652.0
CC(C)(CC1C(=C(NC2=C(C34)C(=C(C)C=C5C)C(C)=C5)C=C2)C(C=CN2)=CC=2)C(N=1)=C(C(=CC=C1)C=C1)C(NC1C(C(=CC=C2C)C=C2)=C(N=4)C=C3)=CC=1,653.0
CC(=CC(=C1)C#CC(=C(C=C2)N(C2=C(C2C3)C(=C(C)C=C4C)C(=C4)C)[Zn](N=2C(C=3)=C2C(=CC=C3C)C=C3)N(C3=C4)C2=C4)C(=CC2=C3)CC2(C)C)C=C1C,627.0
CC(=CC(=C1)C)C=C1C#CC(C(=NC1=CC(NC2C3C(=CC=C4C)C=C4)=CC=2)CC1(C)C)=C(C=C1)NC1=C(C(=NC=31)C=C1)C(=C(C)C=C1C)C(=C1)C,662.0
CC(=CC=C1C(C(=CC2)NC=2C=C(N=C2C3C#CC(C=CC4)=CC=4)C(C2)(C)C)=C(C=C2)N=C2C(C(C(C)=CC2C)=C(C=2)C)=C(NC2=3)C=C2)C=C1,663.0
CC(=CC1C)C(=C(C)C=1)/C(C(=N/C1=C\C2=C3)C=C1)=C(\C=C1)N(C1=C1C#C[Si](C(C)C)(C(C)C)C(C)C)[Zn](N2C2=C3)N(=C1C1)C(=C2)C1(C)C,621.0
CC(C)(CC1C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=C2)NC2=C(C23)C(C(C)=CC4C)=C(C=4)C)C(N=1)=CC(NC1C=C(N=2)C=C3)=CC=1,657.0
CC(C)(CC1C(COC)=C2C=C3)C(=CC(N4C5C6C(C=CC7C)=CC=7)=CC=5)N=1[Zn]4(N2C31)N(C=6C2)=C(C=2)C=1C(C(C)=CC1C)=C(C)C=1,618.0
CC(C)(CC1C(COC)=C(C=C2)NC2=C(C23)C(=C(C)C=C4C)C(=C4)C)C(N=1)=CC(NC1C(C(=CC=C4C)C=C4)=C(N=2)C=C3)=CC=1,649.0
CC(C=CC1C(=C(C=C2)N(=C2C2C(C(C)=CC3C)=C(C)C=3)[Zn]3(N(C4C5(C)C)=C(C5)C5C=C)N(C=5C5)C=2C=5)C(=CC2)N3C=2C=4)=CC=1,618.0
C=CC(=C(C=C1)NC1=C(C(=C(C)C=C1C)C(=C1)C)C(=NC1=C2C(C=CC3C)=CC=3)C=C1)C(CC1(C)C)=NC1=CC(NC12)=CC=1,651.0
O=CC(=C(C=C1)N(C1=C1C(=C(C)C=C2C)C(=C2)C)[Zn]2(N(=C1C1)C(C=1)=C1C(C=CC3C)=CC=3)N(C3=C4)C1=C4)C(=N2C1=C3)CC1(C)C,632.0
CC(C)(COC1C(C(=CC2)N(C=2/C=C(\N=C23)C(C)(C)C3)[Zn]3N(C4C5)C(C=5)=C2)=C(C=C2)N3=C2C=4C(=C(C)C=C2C)C(=C2)C)CO1.C,618.0
O=CC(C(=CC1)N(C=1C1)[Zn]2(C(C3C4)C(=C5)C=4)N(C=1C1(C)C)=C5C1)=C(N2=C1C=3C(=CC=C2)C=C2)C=C1,660.0
O=CC(=C(N=C1C(C(C=CC2)=CC=2)=C(C=C2)NC2=C2)C=C1)C(NC1C=C(N=C22)C(C)(C)C2)=CC=1,679.0
IC(=CC=C1C(=CC2=CC3CC4(C)C)C(N2[Zn](N=3C4=C2)(N3C4=C5C(=CC=C6C)C=C6)N(C5=C5)C2=C5)=CC=3C=C4)C=C1,619.0
IC(=CC=C1C(=CC2=CC(=NC3=CC45)CC3(C)C)C(N2)=CC(C=C2)=NC2=C(C(N4)=CC=5)C(C=CC2C)=CC=2)C=C1,646.0
CC(C)(CC1C=C2C=C3C(C=CC4C#C[Si](C)(C)C)=CC=4)C(N=1[Zn](N1C45)(N2C32)N(=C(C3)C=2)C(C=3)=C5C(=CC=C2C)C=C2)=CC1=CC=4,622.0
CC(C)(CC1C=C(NC2=CC34)C=C2C(C=CC2C#C[Si](C)(C)C)=CC=2)C(N=1)=CC(NC1C(C(C=CC2C)=CC=2)=C(N=4)C=C3)=CC=1,648.0
IC(C=CC1C(=CC2=C(C3=CC4)C(=CC=C5C)C=C5)C(=N2[Zn](N3C=4C2)(N3C4=C5)N(=C5C5)C=2C5(C)C)C=C3C=C4)=CC=1,609.0
IC(=CC=C1C(=CC2=C(C(=CC3)NC=3C=C3C4(C)C)C(C=CC5C)=CC=5)C(=N2)C=C(NC2=CC(C4)=N3)C=C2)C=C1,639.0
IC(=CC=C1C(C=C2C(=C3C=C4)C(C=CC5C)=CC=5)=C(C=C(N5=C6C7)C(C)(C6)C)N2[Zn]5(N3=C4C2)N(C=2C2C(=CC=C3C#C[Si](C)(C)C)C=C3)C=7C=2)C=C1,635.0
IC(=CC=C1C(C=C2C(C(=CC=C3C)C=C3)=C(C=C3)N=C3C=C34)=C(N2)C=C(N=C2C=C(N4)C=C3C(=CC=C3C#C[Si](C)(C)C)C=C3)C(C2)(C)C)C=C1,660.0
O=CC(C=C1C=C2C3)=C(N1[Zn](N1=C4C5)(N2=C(C2)C=3)N(C=5C3)C=2C=3)C=C1C(C)(C)C4,629.0
O=CC(C=C1C=C(N=C2C=C34)C=C2)=C(N1)C=C(N=C1C=C(N4)C=C3)C(C)(C1)C,655.0
O=CC(C=C1/C=C(\N=C23)C(C)(C)C2)=C(N1[Zn](N1=C24)N(C(=C4)C4)C(C=4)=C3)C=C1C=C2,641.0
O=CC(C=C1C=C(N=C2C=C3C4)C(C2)(C)C)=C(N1)C=C(N=C1C=C(N3)C=4)C=C1,665.0
CC(C)(CC1C=C2C3)C(=CC(N4C5C6)=CC=5)N=1[Zn]4(N2C(=C1)C=3COC)N(=C1C1)C=6C=1,642.0
CC(C)(CC1C=C(NC2=CC3C4)C=C2COC)C(N=1)=CC(=CC1)NC=1C=C(C=4)N=3,665.0
CC(C)(CC1C=C2C3COC)C(=CC(N4C5C6)=CC=5)N=1[Zn]4(N2C1C=3)N(C=6C2)=C(C=2)C=1,630.0
CC(C)(CC1C=C(NC2=CC34)C(=C2)COC)C(N=1)=CC(NC1C=C(N=3)C=C4)=CC=1,657.0
CC(C)(CC1C=C2C3)C(N=1[Zn](N2C(=C1)C=3COC)(N2C34)N(=C1C1)C(C=1)=C4)=CC2=CC=3C#CSP[IH][3H],660.0
CC(C)(CC1C=C2C(=C3)COC)C(N=1[Zn](N2C3=C1)(N2C3C4)N(C=4C4)=C1C=4)=CC2=CC=3C#CSP[IH][3H],651.0
CC(C)(CC1C=C2C=C3C#C[Si](C(C)C)(C(C)C)C(C)C)C(N=1[Zn](N2/C3=C\C(C1)=N2)N3C4/C=C/2C=1)=CC3=CC=4C#CSP[IH][3H],648.0
CC(C)(CC1C=C2C3C#C[Si](C(C)C)(C(C)C)C(C)C)C(=CC(=CC4C#CSP[IH][3H])N5C=4C4)N=1[Zn]5(N2C1C=3)N(C=4C2)=C(C=2)C=1,644.0
CC(C)(CC1C=C2C3)C(N=1[Zn](N2C1C=3)(N2C34)N(C(=C3)C3C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=3)C=1C(=CC=C1C)C=C1)=CC2=CC=4,608.0
CC(C=CC1C(=C(C=C2)NC2=CC(=NC2=C3)CC2(C)C)C(C=C2C#C[Si](C(C)C)(C(C)C)C(C)C)=NC2=CC(=CC2)NC=23)=CC=1,
CC(=CC=C1C(=C(C=C2)N(C2=C2)[Zn]3(N(=C2C2)C(=C4)C2(C)C)N(C4=C2)C4=C2)C(=N3C2=C4)C=C2COC)C=C1,601.0
CC(C)(CC1C=C(NC2=C(C34)C(=CC=C5C)C=C5)C=C2)C(N=1)=CC(=CC1)NC=1C=C(N=3)C(=C4)COC,
O=CC(=CC1C(=C2C3)C(=CC=C4C)C=C4)C(N=1[Zn](N2C(=C1)C=3)(N2C3C4)N(=C1C1)C=4C1(C)C)=CC2=CC=3,601.0
CC(C)(CC1C=C2C3)C(=CC(=CC4C=C)N5C=4C4)N=1[Zn]5(N2C1C=3)N(C=4C2)=C(C=2)C=1C(C(C)=CC1C)=C(C=1)C,625.0
ClN[ClH3](I)NC(C=C1/C=C(\N=C23)C(C)(C)C3)=C(N1[Zn](N1=C3C4C(=C(C)C=C5C)C(C)=C5)N(C=4C4)C(=C2)C=4)C=C1C=C3,617.0
CC(C)(CC1C=C2C3)C(N=1[Zn](N1C4C5)(N2C(C=3)=C2C(C(C)=CC3C)=C(C=3)C)N(C=5C3)=C2C=3)=CC1=CC=4SC,621.0
CC(C)(CC1C=C2C3)C(N=1[Zn](N2C1C=3)(N2C34)N(C(C5)=C3)=C(C=5)C=1C(C(C)=CC1C)=C(C)C=1)=CC2=CC=4OC,606.0
CC(C)(CC1C=C2C3)C(=CC(N4C5C6)=CC=5C#CSP[IH][3H])N=1[Zn]4(N2C(C=3)=C1C(C(C)=CC2C)=C(C)C=2)N(=C1C1)C=6C=1,630.0
CC(C)(CC1C=C2C(=C3)C#C[Si](C(C)C)(C(C)C)C(C)C)C(N=1[Zn](N1C4C5)(N2C32)N(C=5C3)=C(C=3)C=2C(=C(C)C=C2C)C(=C2)C)=CC1=CC=4,628.0
CC(C)(CC1C=C(NC2=C(C34)C(=C(C)C=C5C)C(=C5)C)C(=C2)C#C[Si](C(C)C)(C(C)C)C(C)C)C(N=1)=CC(NC1C=C(N=3)C=C4)=CC=1,656.0
CC(C)(CC1C=C2C(=C3)C#C[Si](C(C)C)(C(C)C)C(C)C)C(N=1[Zn](N2C3=C1C(C(C)=CC2C)=C(C)C=2)(N2C34)N(=C1C1)C(C=1)=C4)=CC2=CC=3C#CSP[IH][3H],649.0
CC(C)(CC1C=C(NC2=C(C34)C(C(C)=CC5C)=C(C=5)C)C(=C2)C#C[Si](C(C)C)(C(C)C)C(C)C)C(N=1)=CC(NC1C=C(N=3)C=C4)=CC=1C#CSP[IH][3H],674.0
CC(C)(CC1C=C2C(=C3)COC)C(=CC(N4C5C6)=CC=5C#CSP[IH][3H])N=1[Zn]4(N2C3=C1C(=C(C)C=C2C)C(C)=C2)N(=C1C1)C=6C=1,656.0
CC(C)(CC1C=C2C=C3)C(N=1[Zn](N2C3=C1C(C(C)=CC2C)=C(C=2)C)(N2C34)N(=C1C1)C(C=1)=C4)=CC2=CC=3C(C=CC1)=CC=1,616.0
CC(C)(CC1C=C(NC2=C(C3C4)C(=C(C)C=C5C)C(C)=C5)C=C2)C(N=1)=CC(NC1C=C(N=3)C=4)=CC=1C(=CC=C1)C=C1,644.0
CC(=CC1C)C(C(C(C=C2)=N(C2=CC2=C3)[Zn]4(N2C(=C3)C2)N(=C3C5)C=2C5(C)C)=C(N4C2=C3)C=C2C(=CC=C2)C=C2)=C(C)C=1,617.0
CC(C)(CC1C=C(NC2=C(C34)C(C(C)=CC5C)=C(C=5)C)C(=C2)C(=CC=C2)C=C2)C(N=1)=CC(NC1C=C(N=4)C=C3)=CC=1,647.0
CC(C=C(C1)C)=C(C=1C)C(=C(C=C1C(=CC=C2)C=C2)N(C1=C1)[Zn]2(N(C3=C4C(C=CC5)=CC=5)C(C5)=C4)N(C=5C4(C)C)=C1C4)C(=N2C1=C3)C=C1,626.0
CC(C=C1C)=C(C(=C(C=C2C(=CC=C3)C=C3)NC2=CC(CC2(C)C)=NC2=C2)C(C=C3)=NC3=CC(NC22)=C(C=2)C(=CC=C2)C=C2)C(C)=C1,654.0
CC(C)(CC1/C=C(\N2C3=C4C(=C(C)C=C5C)C(=C5)C)C(=C3)COC)/C(N=1)=C/C(=CC1)N(C=1C=C1C3)[Zn]2N1=C4C=3,636.0
CC(C)(CC1C=C(NC2=C(C34)C(=C(C)C=C5C)C(C)=C5)C(=C2)COC)C(N=1)=CC(=CC1)NC=1C=C(N=3)C=C4,661.0
CC(C)(CC1C=C(NC2=C(C3C4)C(C(C)=CC5C)=C(C=5)C)C(=C2)COC)C(N=1)=CC(=CC1)NC=1C=C(C=4)N=3,668.0
CC(C)(CC1C=C(NC2=C(C3C4)C(=C(C)C=C5C)C(=C5)C)C(=C2)COC)C(N=1)=CC(=CC1COC)NC=1C=C(C=4)N=3,690.0
FC(=C(C(F)=C1F)C(=C(C=C2COC)NC2=CC(CC2(C)C)=NC2=C2)C(=NC3=CC(NC42)=C(C=4)COC)C=C3)C(F)=C1F,692.0
O=C(OC)C(C=CC1C(C(=NC2=CC(NC3C4)=C(C=3)COC)C=C2)=C(C=C2COC)NC2=CC(=NC=42)CC2(C)C)=CC=1,689.0
O=C(OC)C(=CC1=C(C2C=C3)C(=C(C)C=C4C)C(=C4)C)C(=CC(CC4(C)C)=N5C4=C4)N1[Zn]5(N=2C13)N(C4=C2)C(C=1)=C2C(=O)OC,656.0
O=C(OC)C(=CC1=C(C(C=C2)=NC2=CC23)C(=C(C)C=C4C)C(=C4)C)C(N1)=CC(CC1(C)C)=NC1=CC(N3)=CC=2C(=O)OC,680.0
CN(=C(C1)/C=C(\N([Zn]2N(C3C4)=C5C=4)C4=C5C(=C(C)C=C5C)C(=C5)C)C(=C4)C(=O)OC)/C(=C\C(N2C2C=3)=CC=2)C1(C)C,630.0
O=C(OC)C(=CC1=C(C(C(C)=CC2C)=C(C=2)C)C(C=C2)=NC2=CC2=C3)C(N1)=CC(CC1(C)C)=NC1=CC(=C3)N2,656.0
CC(C)(CC1C=C2C(=C3)CONCC(=CC=C4)C=C4)C(=CC(N4C5C6)=CC=5)N=1[Zn]4(N2C3=C1C(=C(C)C=C2C)C(=C2)C)N(C=6C2)=C1C=2,628.0
CC(C)(CC1C=C(NC2=C(C34)C(C(C)=CC5C)=C(C)C=5)C(=C2)CONCC(C=CC2)=CC=2)C(N=1)=CC(NC1C=C(N=4)C=C3)=CC=1,655.0
CC(C)(CC1C=C2C3CONCC(C=CC4)=CC=4)C(N=1[Zn](N1C4C5)(N2C(C=3)=C2C(=C(C)C=C3C)C(=C3)C)N(C=5C3)=C2C=3)=CC1=CC=4CONCC(C=CC1)=CC=1,650.0
CC(C)(CC1C=C(NC2=C(C34)C(=C(C)C=C5C)C(=C5)C)C(=C2)CONCC(C=CC2)=CC=2)C(N=1)=CC(NC1C=C(N=4)C=C3)=CC=1CONCC(=CC=C1)C=C1,674.0
CC(C)(CC1C=C(NC2=C(C34)C(C(C)=CC5C)=C(C)C=5)C(=C2)CONC(=CC=C2)C=C2)C(N=1)=CC(=CC1)NC=1C=C(N=3)C=C4,657.0
CC(C)(CC1C=C(NC2=C(C3C4)C(C(C)=CC5C)=C(C)C=5)C(=C2)CONC(C=CC2)=CC=2)C(N=1)=CC(NC1C=C(C=4)N=3)=CC=1CONC(C=CC1)=CC=1,681.0
O=CC(=C/C1=C(\C(C(C)=CC2C)=C(C=2)C)C(=NC23)C=C2)C(N1[Zn](N1C2=C4)N(C4=C4)C(C=3)=C4)=CC=1CC2(C)C,637.0
O=CC(=CC1=C(C(C(C)=CC2C)=C(C=2)C)C(=NC2=CC34)C=C2)C(N1)=CC(CC1(C)C)=NC1=CC(N4)=CC=3,
O=CC(=CC1=C(C2C3)C(C(C)=CC4C)=C(C=4)C)C(N1[Zn](N=2C(C=3)=C1)(N2C3=C4)N(C1=C1C=O)C4=C1)=CC=2CC3(C)C,672.0
O=C(C(=O)NCCC)C(=CC1=C(C(=NC2=CC34)C=C2)C(=C(C)C=C2C)C(C)=C2)C(N1)=CC(CC1(C)C)=NC1=CC(N3)=CC=4,676.0
